loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
6713,8295087,K05500.01,,CANDIDATE,CANDIDATE,,0,0,0,0,84.934357,3.31E-03,-3.31E-03,157.8966,1.77E-02,-1.77E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,290.15518,44.254017,13.67
6714,8300828,K05501.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,48.9200563,5.91E-04,-5.91E-04,163.9628,1.04E-02,-1.04E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,292.22482,44.29277,14.981
6715,8307489,K05502.01,,CANDIDATE,CANDIDATE,,0,0,0,0,421.98194,1.64E-02,-1.64E-02,226.9386,2.72E-02,-2.72E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.61761,44.216881,12.338
6716,8308639,K05503.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,457.513348,9.10E-03,-9.10E-03,138.6556,1.17E-02,-1.17E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.98322,44.217911,13.853
6717,8313697,K05504.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,224.0258992,,,335.8214821,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,296.55786,44.2831,15.496
6718,8351919,K05505.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,323.77153,2.66E-02,-2.66E-02,191.0744,5.53E-02,-5.53E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,285.75095,44.356979,14.458
6719,8352009,K05506.01,,CANDIDATE,CANDIDATE,,0,0,0,0,641.60204,2.04E-02,-2.04E-02,170.8404,2.75E-02,-2.75E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,285.79572,44.35051,14.152
6720,8352016,K05507.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,40.0389613,4.14E-04,-4.14E-04,156.35794,7.29E-03,-7.29E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,285.79947,44.34819,13.699
6721,8364969,K05508.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,22.57197263,2.52E-06,-2.52E-06,145.0344991,9.23E-05,-9.23E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,291.59738,44.398521,15.45
6722,8378278,K05509.01,,CANDIDATE,CANDIDATE,,0,0,0,0,28.406342,1.04E-03,-1.04E-03,133.0507,2.75E-02,-2.75E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,296.18494,44.342991,15.423
6723,8380743,K05510.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,1.018861199,2.65E-06,-2.65E-06,132.07252,3.64E-03,-3.64E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,296.90295,44.351231,14.039
6724,8395870,K05511.01,,CANDIDATE,CANDIDATE,,0,0,0,0,74.833577,3.01E-03,-3.01E-03,196.5293,3.32E-02,-3.32E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,300.93237,44.34454,12.395
6725,8396288,K05512.01,,CANDIDATE,CANDIDATE,,0,0,0,0,8.5852872,1.04E-04,-1.04E-04,137.39662,9.95E-03,-9.95E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,301.05518,44.306229,16.565
6726,8414914,K05513.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,100.303613,1.67E-04,-1.67E-04,176.75827,1.87E-03,-1.87E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,284.52087,44.455078,17.908
6727,8415353,K05514.01,,CANDIDATE,CANDIDATE,,0,0,0,0,102.100752,2.54E-03,-2.54E-03,148.9663,1.87E-02,-1.87E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,284.7644,44.485004,13.845
6728,8429817,K05515.01,,CANDIDATE,CANDIDATE,,0,0,0,0,6.263491873,7.32E-06,-7.32E-06,134.897906,9.71E-04,-9.71E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,291.45227,44.431751,13.952
6729,8432034,K05516.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,0.83620025,4.92E-06,-4.92E-06,131.91663,5.20E-03,-5.20E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,292.30594,44.459366,20.003
6730,8432249,K05517.01,,CANDIDATE,CANDIDATE,,0,0,0,0,335.43143,2.46E-02,-2.46E-02,395.1813,5.11E-02,-5.11E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,292.39389,44.476212,13.938
6731,8439618,K05518.01,,CANDIDATE,CANDIDATE,,0,0,0,0,558.21886,1.16E-02,-1.16E-02,419.8232,1.51E-02,-1.51E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,295.06573,44.477032,15.326
6732,8442463,K05519.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,361.30991,1.21E-02,-1.21E-02,469.7513,2.32E-02,-2.32E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,295.94467,44.445938,13.851
6733,8474892,K05520.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,199.4424134,2.05E-04,-2.05E-04,240.8521,1.04E-03,-1.04E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,281.76312,44.57719,14.372
6734,8480642,K05521.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,31.59115876,3.18E-05,-3.18E-05,162.501885,8.19E-04,-8.19E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,285.0004,44.544991,13.687
6735,8482513,K05522.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,356.99135,1.52E-02,-1.52E-02,235.7367,2.83E-02,-2.83E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,286.11569,44.592941,15.684
