loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition
1793,8552565,K01277.01,,FALSE POSITIVE,FALSE POSITIVE
1794,8609450,K01278.01,Kepler-282 d,CONFIRMED,CANDIDATE
1795,8609450,K01278.02,Kepler-282 e,CONFIRMED,CANDIDATE
1796,8609450,K01278.03,Kepler-282 b,CONFIRMED,CANDIDATE
1797,8609450,K01278.04,Kepler-282 c,CONFIRMED,CANDIDATE
1798,8609450,K01278.05,,FALSE POSITIVE,FALSE POSITIVE
1799,8628758,K01279.01,Kepler-804 b,CONFIRMED,CANDIDATE
1800,8628758,K01279.02,Kepler-804 c,CONFIRMED,CANDIDATE
1801,8509361,K01280.01,,FALSE POSITIVE,FALSE POSITIVE
1802,8742590,K01281.01,Kepler-1742 b,CONFIRMED,CANDIDATE
1803,8822366,K01282.01,Kepler-805 b,CONFIRMED,CANDIDATE
1804,8700771,K01283.01,Kepler-806 b,CONFIRMED,CANDIDATE
1805,10960993,K01284.01,,FALSE POSITIVE,FALSE POSITIVE
1806,10599397,K01285.01,,FALSE POSITIVE,FALSE POSITIVE
1807,10879208,K01286.01,,FALSE POSITIVE,FALSE POSITIVE
1808,10843203,K01287.01,,FALSE POSITIVE,FALSE POSITIVE
1809,10790387,K01288.01,Kepler-807 b,CONFIRMED,CANDIDATE
1810,10748393,K01289.01,,FALSE POSITIVE,FALSE POSITIVE
1811,10748393,K01289.02,,FALSE POSITIVE,FALSE POSITIVE
1812,10874226,K01290.01,,FALSE POSITIVE,FALSE POSITIVE
1813,10661771,K01291.01,,FALSE POSITIVE,FALSE POSITIVE
1814,10924853,K01292.01,,FALSE POSITIVE,FALSE POSITIVE
1815,10874926,K01293.01,,FALSE POSITIVE,FALSE POSITIVE
1816,10549562,K01294.01,,FALSE POSITIVE,FALSE POSITIVE
1817,10666230,K01295.01,,FALSE POSITIVE,FALSE POSITIVE
1818,10971674,K01296.01,,FALSE POSITIVE,FALSE POSITIVE
1819,10676923,K01297.01,,FALSE POSITIVE,FALSE POSITIVE
1820,10604335,K01298.01,Kepler-283 b,CONFIRMED,CANDIDATE
1821,10604335,K01298.02,Kepler-283 c,CONFIRMED,CANDIDATE
1822,10864656,K01299.01,Kepler-432 b,CONFIRMED,CANDIDATE
1823,10975146,K01300.01,Kepler-808 b,CONFIRMED,CANDIDATE
1824,10538176,K01301.01,Kepler-284 b,CONFIRMED,CANDIDATE
1825,10538176,K01301.02,Kepler-284 c,CONFIRMED,CANDIDATE
1826,10724369,K01302.01,Kepler-809 b,CONFIRMED,CANDIDATE
1827,10867062,K01303.01,,CANDIDATE,CANDIDATE
1828,10744335,K01304.01,Kepler-810 b,CONFIRMED,CANDIDATE
1829,10730034,K01305.01,Kepler-285 b,CONFIRMED,CANDIDATE
1830,10730034,K01305.02,Kepler-285 c,CONFIRMED,CANDIDATE
1831,10858691,K01306.01,Kepler-286 b,CONFIRMED,CANDIDATE
1832,10858691,K01306.02,Kepler-286 c,CONFIRMED,CANDIDATE
1833,10858691,K01306.03,Kepler-286 d,CONFIRMED,CANDIDATE
1834,10858691,K01306.04,Kepler-286 e,CONFIRMED,CANDIDATE
1835,10973814,K01307.01,Kepler-287 c,CONFIRMED,CANDIDATE
1836,10973814,K01307.02,Kepler-287 b,CONFIRMED,CANDIDATE
1837,10586208,K01308.01,Kepler-811 b,CONFIRMED,CANDIDATE
1838,10854768,K01309.01,Kepler-812 b,CONFIRMED,CANDIDATE
1839,10964440,K01310.01,Kepler-813 b,CONFIRMED,CANDIDATE
